month,sentiment_score
2018-05-01,0
2018-06-01,0
2018-08-01,0
2018-10-01,0
2019-03-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-10-01,0
2020-08-01,0
2021-02-01,0
2021-08-01,0
2022-03-01,0
2022-08-01,0
2022-11-01,0
2023-08-01,0
